timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1549475629964,-0.150024,-0.655029,-0.751953,0.320122,-0.274390,0.152439
1549475629979,-0.152527,-0.655579,-0.754944,0.426829,-0.320122,0.228659
1549475629987,-0.154541,-0.653809,-0.754639,0.533537,-0.381098,0.304878
1549475630001,-0.156921,-0.652649,-0.757629,0.625000,-0.426829,0.411585
1549475630009,-0.159424,-0.653809,-0.758667,0.685976,-0.442073,0.518293
1549475630017,-0.159302,-0.656372,-0.759155,0.746951,-0.487805,0.594512
1549475630024,-0.160828,-0.659546,-0.759644,0.792683,-0.457317,0.640244
1549475630039,-0.162415,-0.664307,-0.761719,0.807927,-0.396341,0.655488
1549475630047,-0.160706,-0.667725,-0.764648,0.746951,-0.304878,0.640244
1549475630054,-0.160400,-0.669250,-0.763367,0.640244,-0.243902,0.609756
1549475630069,-0.163330,-0.666809,-0.759277,0.579268,-0.213415,0.579268
1549475630077,-0.155273,-0.660156,-0.750061,0.487805,-0.182927,0.503049
1549475630084,-0.151001,-0.654175,-0.745544,0.472561,-0.137195,0.411585
1549475630106,-0.151733,-0.658325,-0.742432,0.609756,-0.121951,0.304878
1549475630113,-0.156372,-0.664856,-0.748108,0.823171,-0.106707,0.274390
1549475630115,-0.161682,-0.669617,-0.755066,0.868902,-0.076220,0.274390
1549475630129,-0.161133,-0.666382,-0.756531,0.625000,-0.076220,0.198171
1549475630137,-0.158447,-0.660156,-0.751770,0.335366,-0.015244,0.106707
1549475630144,-0.154419,-0.660706,-0.750793,0.228659,-0.030488,0.091463
1549475630159,-0.151550,-0.666687,-0.751343,0.350610,-0.152439,0.091463
1549475630173,-0.148132,-0.670105,-0.751587,0.381098,-0.243902,0.106707
1549475630175,-0.144836,-0.667786,-0.753784,0.137195,-0.274390,0.121951
1549475630189,-0.145325,-0.662598,-0.753540,-0.228659,-0.320122,0.121951
1549475630197,-0.146606,-0.658203,-0.750854,-0.411585,-0.381098,0.076220
1549475630204,-0.151001,-0.658936,-0.747803,-0.274390,-0.472561,0.000000
1549475630219,-0.154785,-0.663330,-0.746948,-0.060976,-0.609756,-0.091463
1549475630226,-0.161804,-0.667969,-0.747986,0.106707,-0.670732,-0.167683
1549475630234,-0.166199,-0.666809,-0.752625,0.076220,-0.640244,-0.167683
1549475630249,-0.170410,-0.670654,-0.755066,-0.091463,-0.594512,-0.121951
1549475630257,-0.171814,-0.668579,-0.759460,-0.274390,-0.503049,-0.137195
1549475630264,-0.171509,-0.666077,-0.763672,-0.457317,-0.457317,-0.167683
1549475630279,-0.165222,-0.663696,-0.759338,-0.533537,-0.411585,-0.198171
1549475630287,-0.160339,-0.660706,-0.760315,-0.487805,-0.365854,-0.259146
1549475630294,-0.155579,-0.657898,-0.762390,-0.442073,-0.289634,-0.304878
1549475630309,-0.148315,-0.654236,-0.764465,-0.442073,-0.243902,-0.365854
1549475630317,-0.141724,-0.651978,-0.757446,-0.533537,-0.213415,-0.365854
1549475630324,-0.141418,-0.647217,-0.755554,-0.594512,-0.137195,-0.365854
1549475630339,-0.144897,-0.648987,-0.754578,-0.548781,-0.060976,-0.381098
1549475630347,-0.146973,-0.657043,-0.756165,-0.335366,-0.121951,-0.365854
1549475630354,-0.155823,-0.658936,-0.752441,-0.121951,-0.182927,-0.365854
1549475630369,-0.161804,-0.657837,-0.750671,-0.076220,-0.167683,-0.335366
1549475630377,-0.165222,-0.659363,-0.755310,-0.137195,-0.106707,-0.320122
1549475630384,-0.166199,-0.661926,-0.756714,-0.121951,-0.106707,-0.274390
1549475630399,-0.165894,-0.660706,-0.760010,-0.030488,-0.106707,-0.198171
1549475630414,-0.164307,-0.657410,-0.759888,0.015244,-0.076220,-0.106707
1549475630421,-0.158081,-0.649963,-0.758850,-0.045732,-0.015244,-0.045732
1549475630429,-0.154175,-0.652161,-0.761047,-0.060976,0.030488,0.030488
1549475630437,-0.151794,-0.654968,-0.759705,-0.030488,0.076220,0.060976
1549475630444,-0.148071,-0.656433,-0.758484,0.060976,0.121951,0.091463
1549475630459,-0.144470,-0.657349,-0.755310,0.091463,0.121951,0.121951
1549475630467,-0.140564,-0.660522,-0.751160,0.167683,0.137195,0.091463
1549475630474,-0.135559,-0.661926,-0.751526,0.198171,0.121951,0.106707
1549475630489,-0.137756,-0.662048,-0.754211,0.259146,0.076220,0.091463
1549475630497,-0.142578,-0.659607,-0.752869,0.289634,0.030488,0.030488
1549475630504,-0.151245,-0.655334,-0.755005,0.350610,0.000000,-0.030488
1549475630519,-0.157898,-0.659058,-0.758118,0.503049,-0.045732,-0.060976
1549475630527,-0.165710,-0.666565,-0.759827,0.640244,-0.091463,-0.060976
1549475630534,-0.167236,-0.664185,-0.759705,0.548781,-0.060976,-0.030488
1549475630549,-0.165710,-0.660217,-0.760376,0.304878,0.045732,0.030488
1549475630557,-0.161926,-0.655396,-0.760010,0.137195,0.167683,0.076220
1549475630564,-0.156738,-0.655762,-0.756042,0.121951,0.121951,0.137195
1549475630579,-0.147644,-0.657776,-0.751221,0.106707,0.076220,0.121951
1549475630587,-0.138794,-0.661072,-0.749817,-0.030488,0.030488,0.060976
1549475630594,-0.134338,-0.661438,-0.751770,-0.213415,-0.030488,0.030488
1549475630609,-0.135193,-0.661438,-0.757446,-0.335366,-0.121951,-0.015244
1549475630617,-0.141052,-0.661011,-0.756348,-0.335366,-0.274390,-0.076220
1549475630624,-0.146790,-0.661194,-0.749695,-0.152439,-0.487805,-0.198171
1549475630639,-0.154480,-0.661133,-0.746765,0.091463,-0.670732,-0.243902
1549475630647,-0.161560,-0.666138,-0.748047,0.259146,-0.838415,-0.304878
1549475630654,-0.171387,-0.666870,-0.754700,0.289634,-0.868902,-0.320122
1549475630669,-0.169983,-0.658386,-0.765625,0.091463,-0.762195,-0.259146
1549475630677,-0.162903,-0.661255,-0.766846,-0.259146,-0.670732,-0.213415
1549475630684,-0.157593,-0.663025,-0.762329,-0.472561,-0.579268,-0.182927
1549475630699,-0.152222,-0.657349,-0.755737,-0.533537,-0.533537,-0.045732
1549475630707,-0.151245,-0.647583,-0.762024,-0.579268,-0.457317,-0.060976
1549475630714,-0.147461,-0.644836,-0.761963,-0.518293,-0.457317,-0.121951
1549475630729,-0.147339,-0.650208,-0.754028,-0.274390,-0.472561,-0.167683
1549475630737,-0.148193,-0.658020,-0.749939,-0.015244,-0.487805,-0.182927
1549475630744,-0.151306,-0.662231,-0.751587,0.030488,-0.457317,-0.152439
1549475630759,-0.154663,-0.660828,-0.755554,-0.091463,-0.396341,-0.152439
1549475630767,-0.157288,-0.658508,-0.756531,-0.167683,-0.350610,-0.121951
1549475630774,-0.160400,-0.655151,-0.760498,-0.182927,-0.289634,-0.076220
1549475630789,-0.164612,-0.652893,-0.760254,-0.152439,-0.213415,-0.030488
1549475630797,-0.166260,-0.652344,-0.758484,-0.076220,-0.213415,-0.030488
1549475630804,-0.160278,-0.652649,-0.759338,0.091463,-0.213415,0.015244
1549475630819,-0.156006,-0.655579,-0.758179,0.259146,-0.182927,0.121951
1549475630827,-0.150269,-0.655823,-0.754700,0.289634,-0.198171,0.243902
1549475630834,-0.148499,-0.655823,-0.757385,0.243902,-0.152439,0.350610
1549475630849,-0.145569,-0.654724,-0.760559,0.121951,-0.121951,0.426829
1549475630856,-0.146790,-0.653320,-0.760925,0.121951,-0.137195,0.472561
1549475630864,-0.147034,-0.654175,-0.760193,0.152439,-0.182927,0.503049
1549475630879,-0.147644,-0.655884,-0.757568,0.213415,-0.213415,0.487805
1549475630887,-0.151367,-0.657349,-0.756165,0.243902,-0.198171,0.411585
1549475630901,-0.155151,-0.661438,-0.754456,0.274390,-0.228659,0.350610
1549475630909,-0.156616,-0.660950,-0.757080,0.350610,-0.228659,0.350610
1549475630917,-0.156189,-0.661438,-0.756104,0.381098,-0.274390,0.350610
1549475630924,-0.158020,-0.659302,-0.757202,0.350610,-0.289634,0.365854
1549475630939,-0.158142,-0.656555,-0.756104,0.304878,-0.304878,0.381098
1549475630947,-0.151611,-0.658264,-0.756531,0.274390,-0.304878,0.335366
1549475630954,-0.150452,-0.661316,-0.756409,0.259146,-0.289634,0.289634
1549475630969,-0.149841,-0.665283,-0.756958,0.259146,-0.289634,0.259146
1549475630977,-0.149170,-0.663635,-0.759705,0.182927,-0.289634,0.213415
1549475630984,-0.150635,-0.660828,-0.759399,0.137195,-0.304878,0.167683
1549475631000,-0.149963,-0.657715,-0.757202,0.091463,-0.320122,0.121951
1549475631007,-0.151794,-0.655884,-0.753845,0.091463,-0.365854,0.030488
1549475631014,-0.154846,-0.659363,-0.753357,0.137195,-0.442073,-0.045732
1549475631029,-0.157471,-0.661621,-0.752563,0.137195,-0.442073,-0.091463
1549475631037,-0.158936,-0.663330,-0.756470,0.121951,-0.396341,-0.121951
1549475631044,-0.161438,-0.659546,-0.755615,0.000000,-0.426829,-0.106707
1549475631059,-0.163147,-0.655090,-0.756409,-0.060976,-0.396341,-0.091463
1549475631067,-0.160889,-0.657104,-0.757812,0.076220,-0.396341,-0.060976
1549475631074,-0.162537,-0.657959,-0.756348,0.121951,-0.396341,-0.060976
1549475631089,-0.161743,-0.656433,-0.757202,0.121951,-0.365854,-0.045732
1549475631096,-0.164551,-0.658569,-0.758484,0.060976,-0.259146,-0.060976
1549475631111,-0.161621,-0.656982,-0.759216,0.030488,-0.137195,-0.060976
1549475631119,-0.161316,-0.653625,-0.761658,-0.015244,-0.106707,-0.045732
1549475631127,-0.158691,-0.652649,-0.760254,-0.030488,-0.091463,-0.060976
